Neighbourhood,F2020_Population_Projection,Assault_Rate2018,Assault_Rate2019,Assault_Rate2020,AutoTheft_Rate2018,AutoTheft_Rate2019,AutoTheft_Rate2020,BreakAndEnter_Rate2018,BreakAndEnter_Rate2019,BreakAndEnter_Rate2020,Robbery_Rate2018,Robbery_Rate2019,Robbery_Rate2020,TheftOver_Rate2018,TheftOver_Rate2019,TheftOver_Rate2020,Homicide_Rate2018,Homicide_Rate2019,Homicide_Rate2020,Shootings_Rate2018,Shootings_Rate2019,Shootings_Rate2020
Yonge-St.Clair,14083,207.2846,253.8071,163.3175,44.41812,43.50979,63.90684,177.6725,203.0457,184.6198,7.40302,29.00653,35.5038,22.20906,43.50979,21.30228,0,0,0,0,0,0
York University Heights,30277,1230.33,1279.861,1126.267,309.2819,492.5118,607.722,414.6416,371.8967,346.7979,319.478,281.4353,155.2334,129.1507,103.863,142.022,0,0,3.302837,27.18961,20.10252,39.63404
Lansing-Westgate,18146,390.1543,393.5901,534.553,91.80102,168.6815,242.4777,286.8782,219.2859,214.9234,183.602,67.47259,60.61942,34.42538,56.22716,49.59771,0,0,0,5.737564,11.24543,5.510856
Yorkdale-Glen Park,17560,1086.558,1237.405,888.3827,390.6727,377.1139,495.4442,408.9855,530.3164,461.2756,286.9003,247.481,227.7904,122.0852,176.7721,102.5057,6.104261,5.892405,5.694761,61.04261,100.1709,79.72665
Stonegate-Queensway,27410,323.2961,307.3277,379.4236,116.537,129.596,164.1737,146.611,236.9756,127.6906,97.74068,88.86585,72.96607,30.07406,14.81098,18.24152,0,0,0,3.759257,3.702744,0
Tam O'Shanter-Sullivan,29970,450.2802,365.6431,437.1038,103.1176,81.25402,123.4568,264.6685,226.8341,180.1802,58.4333,104.9531,60.06006,10.31176,10.15675,6.67334,6.874506,6.771168,3.33667,13.74901,6.771168,6.67334
The Beaches,23364,434.3629,355.1628,359.5275,127.2376,90.95634,98.44205,188.6627,251.2128,282.4859,57.03756,73.63132,25.68053,26.32503,38.98129,42.80089,0,0,0,0,8.662509,0
Thistletown-Beaumond Heights,10948,490.1961,688.642,511.5089,406.9552,468.2766,392.7658,147.9837,128.5465,91.34088,101.7388,91.81893,82.20679,18.49796,27.54568,45.67044,0,0,0,9.248982,27.54568,9.134089
Thorncliffe Park,23518,415.1943,516.0898,399.6938,53.00353,65.05334,85.04124,106.0071,121.4329,174.3345,17.66784,56.37957,21.26031,17.66784,21.68445,12.75619,0,0,8.504125,13.25088,34.69512,38.26856
Danforth East York,18427,436.8503,465.5493,303.9019,71.88675,49.29346,86.82911,99.5355,131.4492,179.085,55.2975,43.81641,48.84137,16.58925,43.81641,27.1341,0,0,5.426819,0,5.477051,0
Humewood-Cedarvale,15854,286.477,288.2767,264.9174,143.2385,102.4984,145.0738,221.3686,179.3722,309.0703,26.04336,64.0615,37.84534,39.06504,19.21845,37.84534,0,0,0,0,0,0
Islington-City Centre West,51481,487.261,434.4953,431.2271,326.2171,346.3949,291.3696,245.6952,250.2853,192.304,72.26328,72.08218,67.98624,113.5566,70.07989,56.33146,2.064665,2.002283,0,6.193996,10.01141,7.769857
Danforth,10353,1091.338,1051.504,627.8373,127.8144,87.62535,67.61325,294.9562,389.446,386.3615,373.6112,253.1399,183.5217,49.15937,38.9446,19.31807,0,0,0,0,9.736151,0
Rustic,10756,696.3655,640.241,557.8282,133.5496,357.7817,195.2399,95.39254,131.8143,130.1599,76.31403,47.07655,74.37709,19.07851,9.415309,46.48568,9.539254,9.415309,0,66.77478,65.90717,55.78282
Scarborough Village,18116,1012.673,972.5016,982.5569,113.1478,111.7818,126.9596,254.5825,223.5636,154.5595,62.23127,156.4945,93.8397,22.62955,11.17818,38.63988,0,0,5.519982,22.62955,33.53454,11.03996
South Parkdale,24212,864.5287,1006.88,978.8535,59.62267,83.90669,66.08293,332.1835,373.3848,363.4561,140.5392,142.6414,66.08293,38.32886,100.688,49.5622,4.258762,4.195335,0,25.55257,12.586,16.52073
South Riverdale,30225,987.5207,835.8129,701.4061,125.1311,127.0436,125.7237,307.7547,441.3092,469.8098,114.9853,117.0138,115.7982,77.78416,70.20828,79.40446,0,0,0,13.52768,20.05951,9.925558
St.Andrew-Windfields,20070,312.7606,351.467,249.1281,119.8916,203.749,154.4594,422.2269,427.8729,249.1281,31.27606,56.03097,39.86049,31.27606,35.65607,19.93024,0,0,0,5.212677,5.093725,4.982561
Taylor-Massey,16651,754.1661,719.7291,684.6436,72.98383,72.57772,84.07903,249.3614,381.033,192.1806,103.3937,84.674,156.1468,24.32794,18.14443,48.04516,6.081985,6.048143,0,6.081985,12.09629,18.01694
Humber Summit,13458,928.9576,954.8872,743.0524,829.9703,1022.556,817.3577,426.4068,443.609,193.1936,258.8898,210.5263,185.7631,114.2161,165.4135,163.4715,22.84322,22.55639,0,38.07203,60.15038,37.15262
Humbermede,16794,645.4756,933.6224,494.2241,328.8272,403.5658,440.6335,267.9333,373.449,196.4987,164.4136,162.631,83.36311,60.89392,48.18697,59.54507,0,0,0,30.44696,24.09348,35.72705
Centennial Scarborough,14672,323.8297,339.4057,313.5224,70.39775,138.5329,68.15704,112.6364,200.8728,54.52563,42.23865,6.926647,20.44711,14.07955,20.77994,6.815703,0,0,0,0,6.926647,6.815703
Church-Yonge Corridor,39279,2249.688,2421.777,1937.422,199.9722,148.8689,76.37669,561.0332,821.4371,613.5594,524.9271,396.0975,351.3328,113.8731,108.9933,112.0191,2.777392,2.658373,0,2.777392,10.63349,5.091779
Clairlea-Birchmount,29302,983.4803,991.5014,627.9435,160.9968,231.4655,167.2241,227.4955,224.5561,204.7642,94.49811,120.9148,102.3821,41.99916,48.36592,20.47642,3.49993,3.454709,3.412736,20.99958,10.36413,6.825473
Cliffcrest,17715,809.3367,787.9904,626.5876,134.8895,109.2833,107.2537,310.8322,264.5807,203.2176,87.97138,166.8009,129.8335,17.59428,17.25526,50.8044,5.864758,5.751754,0,5.864758,5.751754,11.28987
Flemingdon Park,23505,624.079,648.6533,527.5473,34.67106,34.36574,63.81621,60.67435,68.73148,46.79855,69.34212,55.84432,21.27207,4.333882,12.88715,8.508828,0,0,0,26.00329,38.66145,55.30738
Corso Italia-Davenport,15139,624.2449,618.8448,587.8856,73.83541,106.4679,92.47639,214.7939,266.1698,270.8237,134.2462,219.5901,79.26547,33.56155,39.92547,39.63274,0,0,6.605456,0,6.654245,26.42182
Ionview,14407,652.6316,558.1915,596.9321,21.05263,55.81915,41.64642,133.3333,132.5705,104.1161,56.14035,83.72872,13.88214,7.017544,13.95479,0,0,0,0,0,6.977393,6.94107
Junction Area,15623,884.4919,608.5324,640.0819,248.9681,200.6862,230.4295,412.7629,278.3712,320.041,163.7948,97.10623,83.21065,39.31075,58.26374,38.40491,0,0,0,0,12.9475,0
Broadview North,12372,486.6381,563.0355,501.1316,49.48862,24.4798,56.57937,65.98483,203.9984,202.0692,57.73672,40.79967,24.2483,8.248103,8.159935,48.4966,0,0,0,8.248103,0,0
Princess-Rosethorn,12291,169.2907,240.285,195.2648,177.7552,231.9993,162.7207,186.2197,273.4278,97.63242,33.85814,115.9997,73.22431,50.7872,41.42845,32.54414,0,0,0,8.464534,8.28569,8.136035
North Riverdale,12585,434.2581,567.0927,246.325,88.45999,151.7572,103.2976,265.38,343.4505,270.1629,152.7945,175.7189,111.2435,40.20909,39.9361,15.89193,0,0,0,16.08364,15.97444,0
Etobicoke West Mall,13072,356.0408,389.1051,481.9461,71.20817,93.38522,76.49939,126.5923,62.25681,99.4492,31.64807,85.60311,76.49939,23.73606,46.69261,53.54957,15.82404,15.5642,7.649939,23.73606,23.3463,45.89963
Forest Hill North,13588,291.3056,303.9964,301.7368,171.7956,200.1928,294.3774,313.7138,281.7528,331.1746,119.51,163.12,117.751,0,22.24364,51.51604,0,0,0,7.469376,7.414547,0
Glenfield-Jane Heights,33031,909.3166,1039.208,844.6611,207.9325,254.4373,375.4049,117.9318,110.3584,148.3455,148.9665,144.079,148.3455,34.13817,36.78612,57.52172,6.206939,6.13102,3.027459,74.48327,91.9653,102.9336
Greenwood-Coxwell,15470,775.9074,795.2027,736.9102,118.3588,175.9875,187.4596,249.8685,312.8666,265.0291,124.9342,52.14444,135.7466,39.45292,26.07222,25.8565,0,0,12.92825,0,32.59027,19.39237
Guildwood,10679,451.099,284.468,327.746,19.1957,28.4468,103.0059,153.5656,94.82269,28.09252,47.98925,66.37588,28.09252,9.59785,9.482268,9.364173,9.59785,9.482268,0,0,0,9.364173
Trinity-Bellwoods,18270,709.7792,649.4948,574.7126,101.397,133.2297,71.1549,354.8896,610.6362,470.717,78.86436,99.92228,109.4691,45.06535,11.10248,43.78763,0,0,10.94691,0,5.551238,5.473454
Victoria Village,19005,599.7731,666.2403,594.5804,64.84033,85.27876,84.18837,194.521,314.4654,178.9003,70.24369,69.28899,57.87951,16.21008,26.64961,26.30887,5.403361,5.329922,0,10.80672,31.97953,21.04709
Waterfront Communities-The Island,87808,1143.316,1000.349,862.1082,77.75059,73.43116,76.30284,426.9909,405.6771,399.7358,147.8536,111.9524,94.52441,76.47599,90.28422,63.77551,1.2746,1.203789,3.416545,21.6682,12.0379,10.24964
West Hill,29669,1468.201,1518.305,1132.495,93.27392,150.1245,182.0082,355.8227,262.7179,192.1197,179.6387,249.0703,121.3388,17.27295,13.64769,30.33469,6.909179,6.823843,6.741043,17.27295,27.29537,23.59365
West Humber-Clairville,37133,883.3478,702.0238,667.8696,1406.088,1327.264,1066.437,475.2188,370.2079,288.1534,254.3818,197.4442,201.9767,142.5656,178.2482,150.8092,5.590809,5.484561,8.079067,44.72647,52.10333,18.85116
Westminster-Branson,28248,397.8156,389.9961,322.1467,126.5777,121.6501,169.9235,144.6602,135.9619,53.1011,57.86409,28.62356,60.18125,14.46602,3.577945,21.24044,0,0,0,3.616506,3.577945,3.540074
Kennedy Park,18407,1214.575,1212.753,950.7253,155.2881,137.1893,168.4142,266.2082,224.9904,173.8469,177.4721,137.1893,135.8179,110.9201,32.92542,48.89444,5.546004,5.487571,0,22.18402,10.97514,5.432716
Kingsview Village-The Westway,23318,439.3597,423.2713,420.2762,239.2553,172.7638,248.7349,169.6537,116.6156,55.75092,78.30172,64.78642,30.01973,13.05029,8.638189,30.01973,0,0,0,8.700191,12.95728,8.577065
Bayview Woods-Steeles,14020,298.0301,323.9274,235.378,50.88319,151.1661,106.99,210.8018,151.1661,235.378,58.15221,43.19033,7.132668,14.53805,14.39678,14.26534,7.269027,7.198388,0,21.80708,28.79355,7.132668
Clanton Park,18742,447.5274,469.8683,437.52,223.7637,234.9342,234.7668,290.8928,240.3978,176.0751,61.53502,65.56302,85.36976,50.34683,21.85434,26.67805,0,0,0,0,5.463585,16.00683
Keelesdale-Eglinton West,12050,613.8107,479.1124,663.9004,170.503,277.3809,182.5726,264.2796,151.2986,190.8714,161.9778,92.46028,91.28631,25.57545,67.24384,24.89627,8.525149,8.40548,0,42.62575,0,24.89627
O'Connor-Parkview,20156,680.3066,717.2593,585.4336,101.5383,140.4424,99.22604,131.9998,280.8848,124.0325,50.76915,70.2212,94.26473,30.46149,35.1106,49.61302,0,0,0,30.46149,25.079,19.84521
Old East York,9817,641.5563,512.9257,295.4059,93.12914,41.03406,81.49129,289.7351,133.3607,152.7962,72.43378,123.1022,50.93206,0,30.77554,40.74564,0,0,0,10.34768,0,10.18641
Casa Loma,12334,372.3449,447.3531,494.5679,152.3229,49.70591,145.9381,194.6348,281.6668,291.8761,50.77431,66.27454,24.32301,16.92477,16.56864,48.64602,0,0,0,0,0,0
Kensington-Chinatown,21196,2302.137,1945.052,1995.66,130.4043,209.0931,264.2008,1208.747,1351.811,825.6275,376.1661,247.9942,179.2791,125.3887,179.9173,127.3825,0,0,0,25.07774,14.58789,28.30723
Kingsway South,10327,332.7284,306.3544,116.2002,110.9095,296.472,174.3004,181.4882,247.06,203.3504,161.3228,128.4712,38.73342,40.33071,39.5296,29.05006,0,0,0,0,0,0
Runnymede-Bloor West Village,10792,320.8152,429.9066,315.0482,254.765,289.7196,157.5241,207.5863,252.3364,277.9837,188.7149,186.9159,64.86286,18.87148,18.69159,27.79837,0,0,0,0,0,0
Forest Hill South,12450,161.7434,222.9746,200.8032,195.7947,165.1664,297.1888,357.5381,289.0412,265.0602,68.10249,123.8748,40.16064,17.02562,33.03328,48.19277,0,0,0,0,0,0
Henry Farm,22545,370.981,391.2587,372.5882,77.28772,104.9718,93.14704,113.3553,186.0865,146.3739,46.37263,28.62868,26.61344,25.76257,62.02882,26.61344,0,0,0,15.45754,23.85724,13.30672
Annex,34680,811.145,899.0685,792.9642,102.5239,85.4852,106.6897,521.6657,624.9263,585.3518,147.755,114.9629,126.8743,138.7088,120.8584,95.15571,3.015409,2.947766,0,6.030818,2.947766,0
Caledonia-Fairbank,10729,561.21,696.6673,466.0266,104.6324,84.7298,74.56426,85.60829,84.7298,93.20533,85.60829,141.2163,74.56426,9.512033,18.82885,18.64107,0,0,0,38.04813,0,18.64107
Humber Heights-Westmount,12325,314.5991,315.4051,186.6126,127.5402,157.7025,186.6126,246.5777,190.9031,73.02232,42.51339,33.20053,16.22718,25.50804,41.50066,8.11359,0,0,0,25.50804,58.10093,0
Roncesvalles,16073,639.0787,746.5027,746.5937,151.8603,94.09698,93.32421,474.5634,595.9476,423.0697,158.1878,150.5552,149.3187,31.63756,62.73132,24.88646,0,0,0,12.65502,18.8194,6.221614
University,8433,1700.722,1649.013,1019.803,134.5895,180.5489,83.00723,893.1849,1107.366,711.4906,281.4144,156.4757,154.1563,244.7082,96.29273,59.29088,12.23541,12.03659,0,0,12.03659,0
Hillcrest Village,18349,408.3916,413.9758,256.1447,139.8601,149.0313,136.2472,234.965,198.7084,98.09799,100.6993,93.83452,76.29844,44.75525,33.11806,43.59911,5.594406,5.519678,0,5.594406,5.519678,0
Mount Dennis,14703,619.5615,632.7808,482.8947,111.3818,158.1952,163.232,146.1887,96.29273,149.6293,69.61365,110.0488,129.2253,6.961364,34.39026,20.404,20.88409,20.63416,6.801333,27.84546,27.51221,6.801333
Dorset Park,27051,761.306,617.3071,476.877,310.5825,224.4753,262.4672,249.9811,213.2515,262.4672,140.1409,142.1677,88.72131,56.81388,29.93004,18.4836,7.575184,7.48251,0,26.51314,29.93004,25.87705
Edenbridge-Humber Valley,17619,142.9593,197.594,181.6221,107.2194,133.6665,210.0006,268.0486,308.0142,130.5409,29.78318,17.43476,45.40553,29.78318,58.11588,5.675691,0,0,0,0,11.62318,5.675691
Dovercourt-Wallace Emerson-Junction,40355,685.8046,725.93,634.37,109.6268,92.93914,156.1145,359.4738,467.2076,384.0912,147.8687,128.1053,96.6423,33.14297,20.09495,29.73609,5.098919,5.023737,0,7.648378,7.535606,12.39004
Newtonbrook West,26115,670.4528,644.9106,693.0883,209.0235,233.1002,233.5822,212.9673,205.9052,122.5349,110.4275,77.70008,88.07199,35.49456,46.62005,38.29217,0,0,0,0,0,19.14608
Niagara,37931,625.1061,630.6823,469.2732,50.91362,81.90679,71.18188,200.8259,404.0735,284.7275,33.94241,49.14407,55.36369,42.42801,49.14407,29.00003,0,0,2.636366,19.79974,2.730226,7.909098
Beechborough-Greenbrook,7130,761.6037,993.1896,729.3127,201.1783,184.4495,196.3534,359.247,156.0726,98.17672,201.1783,170.2611,56.10098,0,42.56527,42.07574,0,0,0,0,70.94211,0
